Group ID	Poc ortholog	Poc chrom	Poc start	Poc stop	Pow ortholog	Pow chrom	Pow start	Pow stop
OG6_102175	PocGH01_00017000	PocGH01_00_v1_archived_contig_7	21396	25765	POWCR01_000123300	FLRJ01000401	2860	7215
OG6_156438	PocGH01_00017100	PocGH01_00_v1_archived_contig_7	28934	32596	POWCR01_000123400	FLRJ01000401	10776	14522
OG6_152068	PocGH01_00017200	PocGH01_00_v1_archived_contig_7	33413	34066	POWCR01_000123500	FLRJ01000401	15468	16121
OG6_101205	PocGH01_00017300	PocGH01_00_v1_archived_contig_7	34295	36291	POWCR01_000123600	FLRJ01000401	16490	18496
OG6_121246	PocGH01_00017500	PocGH01_00_v1_archived_contig_8	362	1810	POWCR01_000012000	FLRJ01000029	59798	61534
OG6r20_199147	PocGH01_00017900	PocGH01_00_v1_archived_contig_8	13800	15073	POWCR01_000064900	FLRJ01000196	13809	15080
OG6r20_199148	PocGH01_00018500	PocGH01_00_v1_archived_contig_9	27068	28061	POWCR01_000183200	FLRJ01000636	33498	34501
OG6r20_199149	PocGH01_00018700	PocGH01_00_v1_archived_contig_9	44835	46268	POWCR01_000183000	FLRJ01000636	15260	16738
OG6r20_199150	PocGH01_00019500	PocGH01_00_v1_archived_contig_10	42690	43795	POWCR01_000230800	FLRJ01000734	40069	41174
OG6r20_109873	PocGH01_00019600	PocGH01_00_v1_archived_contig_10	48568	50171	POWCR01_000230700	FLRJ01000734	33697	35301
OG6r20_113937	PocGH01_00019800	PocGH01_00_v1_archived_contig_11	228	1331	POWCR01_000231300	FLRJ01000734	81974	82920
OG6r20_193759	PocGH01_00020300	PocGH01_00_v1_archived_contig_11	35610	36936	POWCR01_000022300	FLRJ01000031	43928	45253
OG6_116282	PocGH01_00020400	PocGH01_00_v1_archived_contig_11	41475	42750	POWCR01_000022400	FLRJ01000031	49743	51019
OG6r20_199152	PocGH01_00020600	PocGH01_00_v1_archived_contig_12	7348	8813	POWCR01_000043300	FLRJ01000102	28177	29643
OG6r20_199153	PocGH01_00021000	PocGH01_00_v1_archived_contig_12	29245	30842	POWCR01_000043700	FLRJ01000102	50098	51740
OG6r20_114168	PocGH01_00022700	PocGH01_00_v1_archived_contig_15	10586	12637	POWCR01_000192200	FLRJ01000655	37361	39142
OG6r20_123318	PocGH01_00022900	PocGH01_00_v1_archived_contig_15	19759	21038	POWCR01_000092500	FLRJ01000275	22066	23343
OG6r20_199154	PocGH01_00023100	PocGH01_00_v1_archived_contig_15	39085	40407	POWCR01_000092300	FLRJ01000275	10905	12246
OG6r20_199155	PocGH01_00023500	PocGH01_00_v1_archived_contig_16	17444	18973	POWCR01_000060700	FLRJ01000165	40807	42324
OG6r20_104989	PocGH01_00023700	PocGH01_00_v1_archived_contig_16	26602	28348	POWCR01_000060500	FLRJ01000165	31444	33196
OG6r20_199156	PocGH01_00024300	PocGH01_00_v1_archived_contig_16	72233	73483	POWCR01_000079300	FLRJ01000231	33296	34546
OG6r20_199157	PocGH01_00024600	PocGH01_00_v1_archived_contig_17	24975	26148	POWCR01_000090400	FLRJ01000271	20236	21397
OG6r20_133069	PocGH01_00024800	PocGH01_00_v1_archived_contig_17	49730	51249	POWCR01_000077200	FLRJ01000219	32701	34206
OG6r20_199158	PocGH01_00024900	PocGH01_00_v1_archived_contig_17	58015	59294	POWCR01_000077100	FLRJ01000219	24719	25990
OG6r20_199159	PocGH01_00025100	PocGH01_00_v1_archived_contig_17	72318	72761	POWCR01_000077000	FLRJ01000219	10347	10787
OG6r20_111715	PocGH01_00025400	PocGH01_00_v1_archived_contig_18	6495	8698	POWCR01_000085600	FLRJ01000251	27608	29818
OG6r20_104995	PocGH01_00025600	PocGH01_00_v1_archived_contig_18	21244	22861	POWCR01_000165400	FLRJ01000564	544	2161
OG6_100344	PocGH01_00026100	PocGH01_00_v1_archived_contig_19	18284	19614	POWCR01_030024100	LT594507	842472	849539
OG6r20_199160	PocGH01_00026300	PocGH01_00_v1_archived_contig_19	27280	28424	POWCR01_000131900	FLRJ01000425	16978	18122
OG6r20_199161	PocGH01_00026500	PocGH01_00_v1_archived_contig_19	35703	36906	POWCR01_000072900	FLRJ01000201	27585	28811
OG6r20_150746	PocGH01_00026800	PocGH01_00_v1_archived_contig_20	15364	16886	POWCR01_000135200	FLRJ01000440	2466	3957
OG6r20_104250	PocGH01_00026900	PocGH01_00_v1_archived_contig_20	20688	22053	POWCR01_000135300	FLRJ01000440	7907	9325
OG6r20_105713	PocGH01_00027200	PocGH01_00_v1_archived_contig_21	343	1497	POWCR01_000044100	FLRJ01000104	983	2136
OG6r20_199162	PocGH01_00027400	PocGH01_00_v1_archived_contig_21	11715	12638	POWCR01_000144800	FLRJ01000479	4332	5255
OG6r20_199163	PocGH01_00027600	PocGH01_00_v1_archived_contig_21	25196	26381	POWCR01_000092000	FLRJ01000274	18887	20071
OG6r20_199164	PocGH01_00027900	PocGH01_00_v1_archived_contig_22	7239	8463	POWCR01_000013500	FLRJ01000002	34942	36167
OG6r20_199165	PocGH01_00028200	PocGH01_00_v1_archived_contig_22	25019	26285	POWCR01_000013200	FLRJ01000002	17143	18409
OG6r20_123054	PocGH01_00029000	PocGH01_00_v1_archived_contig_24	6648	7964	POWCR01_000222800	FLRJ01000719	1726	3043
OG6r20_199167	PocGH01_00029200	PocGH01_00_v1_archived_contig_24	15236	15502	POWCR01_000223000	FLRJ01000719	10231	10467
OG6r20_151501	PocGH01_00029700	PocGH01_00_v1_archived_contig_25	214	1557	POWCR01_000082900	FLRJ01000243	29662	31005
OG6r20_199168	PocGH01_00029900	PocGH01_00_v1_archived_contig_25	11739	12875	POWCR01_000066600	FLRJ01000186	15678	16813
OG6r20_102625	PocGH01_00030500	PocGH01_00_v1_archived_contig_26	5344	6773	POWCR01_000085400	FLRJ01000251	14291	15708
OG6r20_117564	PocGH01_00030600	PocGH01_00_v1_archived_contig_26	8617	9892	POWCR01_000085300	FLRJ01000251	11162	12433
OG6r20_199169	PocGH01_00030800	PocGH01_00_v1_archived_contig_26	22027	23433	POWCR01_000187700	FLRJ01000650	14526	15932
OG6r20_199170	PocGH01_00030900	PocGH01_00_v1_archived_contig_26	26756	28061	POWCR01_000187800	FLRJ01000650	19266	20557
OG6r20_199172	PocGH01_00031200	PocGH01_00_v1_archived_contig_27	9457	10568	POWCR01_000126100	FLRJ01000407	21200	22338
OG6r20_199173	PocGH01_00031300	PocGH01_00_v1_archived_contig_27	18357	19622	POWCR01_000126000	FLRJ01000407	12862	14128
OG6r20_132845	PocGH01_00031400	PocGH01_00_v1_archived_contig_27	22617	23947	POWCR01_000125900	FLRJ01000407	8539	9864
OG6r20_199174	PocGH01_00031600	PocGH01_00_v1_archived_contig_28	2724	3837	POWCR01_000082800	FLRJ01000243	23305	24518
OG6r20_199175	PocGH01_00031700	PocGH01_00_v1_archived_contig_28	6959	8239	POWCR01_000023500	FLRJ01000034	34269	35549
OG6r20_123310	PocGH01_00031800	PocGH01_00_v1_archived_contig_28	11406	12654	POWCR01_000023400	FLRJ01000034	29840	31087
OG6r20_199176	PocGH01_00032000	PocGH01_00_v1_archived_contig_28	25241	26524	POWCR01_000023200	FLRJ01000034	15963	17244
OG6r20_199177	PocGH01_00032100	PocGH01_00_v1_archived_contig_28	30823	32106	POWCR01_000023100	FLRJ01000034	10379	11664
OG6r20_199178	PocGH01_00032700	PocGH01_00_v1_archived_contig_30	2833	4087	POWCR01_000070400	FLRJ01000211	75928	77182
OG6r20_199179	PocGH01_00033200	PocGH01_00_v1_archived_contig_31	3008	4285	POWCR01_000146200	FLRJ01000544	58396	59685
OG6r20_199180	PocGH01_00033600	PocGH01_00_v1_archived_contig_31	20664	21883	POWCR01_000145700	FLRJ01000544	28503	29722
OG6r20_199182	PocGH01_00034300	PocGH01_00_v1_archived_contig_32	23627	24789	POWCR01_000148600	FLRJ01000487	40474	42088
OG6r20_199184	PocGH01_00035000	PocGH01_00_v1_archived_contig_33	18659	19679	POWCR01_000139300	FLRJ01000458	10605	11598
OG6r20_199185	PocGH01_00035800	PocGH01_00_v1_archived_contig_34	26331	27567	POWCR01_000082600	FLRJ01000243	10585	11821
OG6r20_194035	PocGH01_00036200	PocGH01_00_v1_archived_contig_35	18413	19699	POWCR01_000104800	FLRJ01000338	17570	18857
OG6r20_150719	PocGH01_00036400	PocGH01_00_v1_archived_contig_35	26806	28449	POWCR01_000105000	FLRJ01000338	25859	27603
OG6r20_199186	PocGH01_00036900	PocGH01_00_v1_archived_contig_36	18398	19438	POWCR01_000159000	FLRJ01000529	4913	5954
OG6r20_199187	PocGH01_00037100	PocGH01_00_v1_archived_contig_36	28982	30260	POWCR01_000046500	FLRJ01000111	45317	46595
OG6r20_199188	PocGH01_00037300	PocGH01_00_v1_archived_contig_37	10752	12037	POWCR01_000068200	FLRJ01000187	33889	35179
OG6r20_199189	PocGH01_00037500	PocGH01_00_v1_archived_contig_37	20701	22145	POWCR01_000073100	FLRJ01000201	35453	37187
OG6r20_197933	PocGH01_00037800	PocGH01_00_v1_archived_contig_38	6945	8169	POWCR01_000175300	FLRJ01000648	108056	109277
OG6r20_199190	PocGH01_00037900	PocGH01_00_v1_archived_contig_38	12188	13350	POWCR01_000175400	FLRJ01000648	113278	114434
OG6r20_199191	PocGH01_00038000	PocGH01_00_v1_archived_contig_38	18184	19518	POWCR01_000175500	FLRJ01000648	119229	120563
OG6r20_199192	PocGH01_00038200	PocGH01_00_v1_archived_contig_38	27236	28493	POWCR01_000175600	FLRJ01000648	128293	129550
OG6r20_199193	PocGH01_00038400	PocGH01_00_v1_archived_contig_39	5637	6968	POWCR01_000170700	FLRJ01000589	4712	6038
OG6r20_111727	PocGH01_00039100	PocGH01_00_v1_archived_contig_40	14726	15695	POWCR01_060025700	LT594510	893854	894821
OG6r20_199196	PocGH01_00039500	PocGH01_00_v1_archived_contig_41	5564	6879	POWCR01_000206800	FLRJ01000685	9189	10502
OG6r20_199197	PocGH01_00039700	PocGH01_00_v1_archived_contig_41	16100	16622	POWCR01_000143100	FLRJ01000470	16822	17302
OG6r20_117446	PocGH01_00040000	PocGH01_00_v1_archived_contig_42	5671	6821	POWCR01_000110600	FLRJ01000355	11601	12510
OG6r20_111574	PocGH01_00040100	PocGH01_00_v1_archived_contig_42	11321	12529	POWCR01_000154300	FLRJ01000506	66121	67338
OG6r20_199199	PocGH01_00040500	PocGH01_00_v1_archived_contig_43	2856	4120	POWCR01_000112000	FLRJ01000359	17923	19212
OG6r20_132435	PocGH01_00041700	PocGH01_00_v1_archived_contig_45	6344	7449	POWCR01_000232600	FLRJ01000742	5360	6464
OG6r20_199200	PocGH01_00042600	PocGH01_00_v1_archived_contig_48	2657	4149	POWCR01_000236600	FLRJ01000757	44043	44417
OG6r20_114170	PocGH01_00042700	PocGH01_00_v1_archived_contig_48	7140	8474	POWCR01_000236700	FLRJ01000757	47775	49108
OG6r20_100709	PocGH01_00042800	PocGH01_00_v1_archived_contig_48	13738	15039	POWCR01_000236800	FLRJ01000757	54391	55688
OG6r20_132838	PocGH01_00043100	PocGH01_00_v1_archived_contig_49	7912	9150	POWCR01_000161200	FLRJ01000539	1383	2598
OG6r20_199202	PocGH01_00044100	PocGH01_00_v1_archived_contig_51	1802	3037	POWCR01_000128200	FLRJ01000480	69049	70281
OG6r20_199203	PocGH01_00044500	PocGH01_00_v1_archived_contig_51	18815	19630	POWCR01_000151700	FLRJ01000500	49098	49592
OG6r20_199204	PocGH01_00044900	PocGH01_00_v1_archived_contig_52	12378	13711	POWCR01_000156700	FLRJ01000513	16453	17792
OG6r20_130582	PocGH01_00045000	PocGH01_00_v1_archived_contig_52	19101	20345	POWCR01_000156600	FLRJ01000513	9483	11062
OG6r20_199205	PocGH01_00045100	PocGH01_00_v1_archived_contig_52	22783	24064	POWCR01_000129500	FLRJ01000415	17	1297
OG6r20_199207	PocGH01_00045700	PocGH01_00_v1_archived_contig_54	6218	7844	POWCR01_000100400	FLRJ01000308	110	1739
OG6r20_199208	PocGH01_00047000	PocGH01_00_v1_archived_contig_56	729	1702	POWCR01_000205000	FLRJ01000678	51737	52710
OG6r20_197072	PocGH01_00047200	PocGH01_00_v1_archived_contig_56	11548	12949	POWCR01_000204800	FLRJ01000678	40569	41882
OG6r20_199209	PocGH01_00047300	PocGH01_00_v1_archived_contig_56	16412	17436	POWCR01_000183900	FLRJ01000634	6117	7134
OG6r20_199211	PocGH01_00047900	PocGH01_00_v1_archived_contig_57	18211	19510	POWCR01_000008800	FLRJ01000173	200980	202279
OG6r20_199213	PocGH01_00049500	PocGH01_00_v1_archived_contig_60	9153	10413	POWCR01_000229800	FLRJ01000733	55728	56988
OG6r20_194032	PocGH01_00051500	PocGH01_00_v1_archived_contig_64	22947	24206	POWCR01_000083700	FLRJ01000246	17971	19227
OG6r20_152060	PocGH01_00052600	PocGH01_00_v1_archived_contig_67	2828	3974	POWCR01_000070000	FLRJ01000211	49052	50197
OG6r20_199217	PocGH01_00053500	PocGH01_00_v1_archived_contig_69	3796	4649	POWCR01_000218900	FLRJ01000712	3552	4405
OG6r20_199218	PocGH01_00053600	PocGH01_00_v1_archived_contig_69	8619	9911	POWCR01_000199300	FLRJ01000667	5457	6750
OG6r20_199219	PocGH01_00053700	PocGH01_00_v1_archived_contig_69	12255	13605	POWCR01_000130400	FLRJ01000429	17304	18658
OG6r20_114172	PocGH01_00053800	PocGH01_00_v1_archived_contig_69	16803	18137	POWCR01_000130300	FLRJ01000429	12797	14133
OG6r20_199220	PocGH01_00054200	PocGH01_00_v1_archived_contig_70	14076	15381	POWCR01_000184500	FLRJ01000640	2182	3485
OG6r20_199221	PocGH01_00054300	PocGH01_00_v1_archived_contig_70	18721	20004	POWCR01_000164400	FLRJ01000560	3974	5260
OG6r20_199222	PocGH01_00054700	PocGH01_00_v1_archived_contig_71	9505	10800	POWCR01_000237900	FLRJ01000763	405	1692
OG6r20_151816	PocGH01_00054800	PocGH01_00_v1_archived_contig_71	16282	17523	POWCR01_000238000	FLRJ01000763	7185	8431
OG6r20_199223	PocGH01_00055100	PocGH01_00_v1_archived_contig_72	12822	14071	POWCR01_000224800	FLRJ01000719	96248	97493
OG6r20_199224	PocGH01_00055200	PocGH01_00_v1_archived_contig_72	22143	23375	POWCR01_000109000	FLRJ01000349	11212	12443
OG6r20_199225	PocGH01_00055500	PocGH01_00_v1_archived_contig_73	9032	10322	POWCR01_000172700	FLRJ01000596	273	1609
OG6r20_199226	PocGH01_00055600	PocGH01_00_v1_archived_contig_73	14456	15582	POWCR01_000172800	FLRJ01000596	5613	6886
OG6r20_197084	PocGH01_00057400	PocGH01_00_v1_archived_contig_77	4890	6167	POWCR01_000050100	FLRJ01000127	15865	17161
OG6r20_199229	PocGH01_00057500	PocGH01_00_v1_archived_contig_77	9092	10316	POWCR01_000011000	FLRJ01000029	2957	4182
OG6r20_199230	PocGH01_00057600	PocGH01_00_v1_archived_contig_77	15695	16973	POWCR01_000125700	FLRJ01000414	78184	79468
OG6r20_199232	PocGH01_00060300	PocGH01_00_v1_archived_contig_78	139668	141076	POWCR01_000167800	FLRJ01000574	12446	13695
OG6r20_199233	PocGH01_00060400	PocGH01_00_v1_archived_contig_78	148374	149624	POWCR01_000121200	FLRJ01000389	13447	14707
OG6r20_199234	PocGH01_00060500	PocGH01_00_v1_archived_contig_79	378	1566	POWCR01_000218800	FLRJ01000711	52590	53788
OG6r20_199235	PocGH01_00060700	PocGH01_00_v1_archived_contig_79	9138	10432	POWCR01_000218600	FLRJ01000711	43745	45001
OG6r20_199236	PocGH01_00060900	PocGH01_00_v1_archived_contig_79	18556	19869	POWCR01_000218400	FLRJ01000711	34222	35605
OG6r20_196207	PocGH01_00061100	PocGH01_00_v1_archived_contig_80	5228	6500	POWCR01_000160700	FLRJ01000536	4869	6147
OG6r20_199237	PocGH01_00061200	PocGH01_00_v1_archived_contig_80	9897	11186	POWCR01_000048900	FLRJ01000122	452	1742
OG6r20_111729	PocGH01_00062400	PocGH01_00_v1_archived_contig_82	21096	21755	POWCR01_080006600	LT594512	100882	101708
OG6r20_197039	PocGH01_00062500	PocGH01_00_v1_archived_contig_83	636	1115	POWCR01_000187500	FLRJ01000650	5364	6195
OG6r20_114119	PocGH01_00062600	PocGH01_00_v1_archived_contig_83	4610	5915	POWCR01_000187400	FLRJ01000650	933	2215
OG6r20_104258	PocGH01_00062700	PocGH01_00_v1_archived_contig_83	14543	15639	POWCR01_000122800	FLRJ01000399	17716	18801
OG6r20_199239	PocGH01_00062900	PocGH01_00_v1_archived_contig_84	1089	2408	POWCR01_000229100	FLRJ01000733	11590	12907
OG6r20_199240	PocGH01_00063000	PocGH01_00_v1_archived_contig_84	4178	5247	POWCR01_000229000	FLRJ01000733	2259	3591
OG6r20_199241	PocGH01_00063200	PocGH01_00_v1_archived_contig_84	13705	15010	POWCR01_000186400	FLRJ01000647	57100	58396
OG6r20_150767	PocGH01_00063300	PocGH01_00_v1_archived_contig_84	18767	19943	POWCR01_000186300	FLRJ01000647	52194	53382
OG6r20_199244	PocGH01_00064300	PocGH01_00_v1_archived_contig_87	6461	7756	POWCR01_000145200	FLRJ01000544	4769	6062
OG6r20_199245	PocGH01_00064600	PocGH01_00_v1_archived_contig_87	20898	22168	POWCR01_000145500	FLRJ01000544	19178	20448
OG6r20_199246	PocGH01_00064800	PocGH01_00_v1_archived_contig_88	4424	5582	POWCR01_000201500	FLRJ01000674	22644	23805
OG6r20_199247	PocGH01_00064900	PocGH01_00_v1_archived_contig_88	14420	15725	POWCR01_000201400	FLRJ01000674	12480	13791
OG6r20_199249	PocGH01_00066200	PocGH01_00_v1_archived_contig_89	63353	64676	POWCR01_000103000	FLRJ01000327	17727	19025
OG6r20_152066	PocGH01_00066900	PocGH01_00_v1_archived_contig_89	92803	93986	POWCR01_000068100	FLRJ01000187	30111	31291
OG6r20_115200	PocGH01_00067000	PocGH01_00_v1_archived_contig_89	96542	97836	POWCR01_000133400	FLRJ01000430	857	2153
OG6r20_199250	PocGH01_00067100	PocGH01_00_v1_archived_contig_89	100239	101514	POWCR01_000140600	FLRJ01000463	17275	18545
OG6r20_199251	PocGH01_00067200	PocGH01_00_v1_archived_contig_89	105847	106989	POWCR01_000140500	FLRJ01000463	11773	12918
OG6r20_199252	PocGH01_00067400	PocGH01_00_v1_archived_contig_89	114518	115700	POWCR01_000049000	FLRJ01000122	3641	4974
OG6r20_104942	PocGH01_00068100	PocGH01_00_v1_archived_contig_90	4699	5281	POWCR01_000100700	FLRJ01000308	23982	24567
OG6r20_103251	PocGH01_00068400	PocGH01_00_v1_archived_contig_90	17006	18139	POWCR01_000045100	FLRJ01000105	343	1671
OG6r20_199253	PocGH01_00068800	PocGH01_00_v1_archived_contig_91	14094	14507	POWCR01_000088400	FLRJ01000266	20377	21024
OG6r20_104581	PocGH01_00069000	PocGH01_00_v1_archived_contig_91	20131	20809	POWCR01_000088300	FLRJ01000266	14070	14748
OG6r20_197372	PocGH01_00069400	PocGH01_00_v1_archived_contig_93	468	1526	POWCR01_000202000	FLRJ01000674	40898	41959
OG6r20_117541	PocGH01_00069700	PocGH01_00_v1_archived_contig_93	15856	17175	POWCR01_000098900	FLRJ01000295	19057	20368
OG6r20_151466	PocGH01_00071100	PocGH01_00_v1_archived_contig_97	10598	11893	POWCR01_000211500	FLRJ01000694	11032	12328
OG6r20_199254	PocGH01_00071500	PocGH01_00_v1_archived_contig_98	13756	15398	POWCR01_000062000	FLRJ01000170	871	2494
OG6r20_151519	PocGH01_00072200	PocGH01_00_v1_archived_contig_100	28515	29788	POWCR01_000112700	FLRJ01000360	16217	17490
OG6r20_199255	PocGH01_00072400	PocGH01_00_v1_archived_contig_100	43371	44588	POWCR01_130006800	LT594517	94331	95536
OG6r20_199256	PocGH01_00072700	PocGH01_00_v1_archived_contig_100	56126	57342	POWCR01_130006700	LT594517	90370	91587
OG6r20_199257	PocGH01_00072900	PocGH01_00_v1_archived_contig_100	70259	71458	POWCR01_130006300	LT594517	62381	63579
OG6r20_199258	PocGH01_00073100	PocGH01_00_v1_archived_contig_100	78196	79405	POWCR01_130006200	LT594517	58419	59629
OG6r20_199259	PocGH01_00073200	PocGH01_00_v1_archived_contig_100	83201	84416	POWCR01_130006000	LT594517	49492	50709
OG6r20_199260	PocGH01_00073400	PocGH01_00_v1_archived_contig_100	92278	93514	POWCR01_130005800	LT594517	40722	41953
OG6r20_199261	PocGH01_00073700	PocGH01_00_v1_archived_contig_100	108521	109786	POWCR01_130005500	LT594517	24424	25691
OG6r20_199262	PocGH01_00073800	PocGH01_00_v1_archived_contig_100	117061	118340	POWCR01_130005300	LT594517	15893	17171
OG6r20_194029	PocGH01_00074500	PocGH01_00_v1_archived_contig_101	15657	16894	POWCR01_000066400	FLRJ01000186	2635	3865
OG6r20_199265	PocGH01_00075000	PocGH01_00_v1_archived_contig_103	985	2211	POWCR01_000105700	FLRJ01000338	68167	69393
OG6r20_199266	PocGH01_00075100	PocGH01_00_v1_archived_contig_103	6397	8008	POWCR01_000105600	FLRJ01000338	62342	63973
OG6r20_107448	PocGH01_00075200	PocGH01_00_v1_archived_contig_103	16801	18094	POWCR01_000105100	FLRJ01000338	33361	34658
OG6r20_199268	PocGH01_00076800	PocGH01_00_v1_archived_contig_108	1941	3249	POWCR01_000052800	FLRJ01000141	28388	29672
OG6r20_199269	PocGH01_00077100	PocGH01_00_v1_archived_contig_108	16475	17780	POWCR01_000052500	FLRJ01000141	13854	15174
OG6r20_199270	PocGH01_00077300	PocGH01_00_v1_archived_contig_109	8464	9801	POWCR01_000210900	FLRJ01000693	35274	36609
OG6r20_199271	PocGH01_00077400	PocGH01_00_v1_archived_contig_109	12353	13582	POWCR01_000211000	FLRJ01000693	39177	40413
OG6r20_199272	PocGH01_00077600	PocGH01_00_v1_archived_contig_110	3557	4617	POWCR01_000009700	FLRJ01000173	253295	253717
OG6r20_123453	PocGH01_00078000	PocGH01_00_v1_archived_contig_111	7622	8930	POWCR01_000182500	FLRJ01000630	65499	66802
OG6r20_199273	PocGH01_00078200	PocGH01_00_v1_archived_contig_111	17324	18581	POWCR01_000181900	FLRJ01000630	35578	36836
OG6r20_132429	PocGH01_00078600	PocGH01_00_v1_archived_contig_111	37426	38727	POWCR01_000181600	FLRJ01000630	15443	16744
OG6r20_199274	PocGH01_00078700	PocGH01_00_v1_archived_contig_111	48793	49611	POWCR01_000181500	FLRJ01000630	4558	5373
OG6r20_199275	PocGH01_00078900	PocGH01_00_v1_archived_contig_111	65788	66623	POWCR01_000027500	FLRJ01000042	3532	4369
OG6r20_197047	PocGH01_00079100	PocGH01_00_v1_archived_contig_111	74305	75122	POWCR01_000100200	FLRJ01000306	26690	27510
OG6r20_199276	PocGH01_00079500	PocGH01_00_v1_archived_contig_111	102264	103084	POWCR01_000228100	FLRJ01000729	966	1785
OG6r20_199277	PocGH01_00079600	PocGH01_00_v1_archived_contig_111	107671	108650	POWCR01_000228200	FLRJ01000729	6348	7339
OG6r20_193958	PocGH01_00079700	PocGH01_00_v1_archived_contig_111	114300	116376	POWCR01_000162500	FLRJ01000546	13	948
OG6r20_193670	PocGH01_00080000	PocGH01_00_v1_archived_contig_111	133472	134633	POWCR01_000043000	FLRJ01000102	11190	12348
OG6r20_104993	PocGH01_00080600	PocGH01_00_v1_archived_contig_113	15604	16300	POWCR01_000064100	FLRJ01000180	2878	3574
OG6r20_199278	PocGH01_00080800	PocGH01_00_v1_archived_contig_114	1209	2149	POWCR01_000031400	FLRJ01000056	4001	4959
OG6r20_196939	PocGH01_00081200	PocGH01_00_v1_archived_contig_115	3319	4319	POWCR01_080006400	LT594512	84048	85060
OG6r20_199280	PocGH01_00081900	PocGH01_00_v1_archived_contig_117	8468	9781	POWCR01_000163200	FLRJ01000552	8901	10201
OG6r20_199281	PocGH01_00083000	PocGH01_00_v1_archived_contig_120	3728	5052	POWCR01_000101100	FLRJ01000311	532	1856
